cluster.id	value	variable	sample	epitope	sample.ind
cl160	1e-04	popsize	TCGA-04-1346-01A-01W-0486-08	NA	41
cl134	0.136825838939976	median-channel-value	TCGA-04-1514-01A-01R-1566-13	TRBM	43
cl71	0	median-channel-value	TCGA-04-1331-01A-01R-1569-13	TRBM	44
cl123	1.83932718792606	median-channel-value	TCGA-04-1342-01A-01W-0486-08	FOXP3	45
cl149	NA	median-channel-value	TCGA-04-1332-01A-01R-1564-13	CCR2	37
cl36	0.374172161386194	median-channel-value	TCGA-04-1341-01A-01R-1564-13	CD14	39
cl30	0.0160858135529084	median-channel-value	TCGA-04-1348-01A-01W-0492-08	TNR5	46
cl43	0.605249046207802	median-channel-value	TCGA-02-0047-01A-01D-1490-08	CD3E	2
cl179	NA	median-channel-value	TCGA-04-1542-01A-01W-0553-09	FOXP3	47
cl141	0.133703200578358	median-channel-value	TCGA-04-1343-01A-01W-0486-08	CTLA4	48
cl168	NA	median-channel-value	TCGA-04-1356-01A-01W-0492-08	CTLA4	49
cl16	0.283640140371809	median-channel-value	TCGA-04-1361-01A-01R-1565-13	TBX21	50
cl178	NA	median-channel-value	TCGA-04-1360-01A-01W-0492-08	CD19	51
cl196	NA	median-channel-value	TCGA-04-1516-01A-01D-1526-09	ITAM	52
cl3	0.307364534446518	median-channel-value	TCGA-04-1343-01A-01R-1564-13	IL3RA	15
cl197	NA	median-channel-value	TCGA-04-1361-01A-01R-1565-13	MRC1	50
cl160	0	median-channel-value	TCGA-04-1338-01A-01R-1564-13	CD19	53
cl63	0	median-channel-value	TCGA-04-1361-01A-01W-0492-08	MRC1	54
cl115	NA	median-channel-value	TCGA-04-1357-01A-01W-0492-08	CEAM1	55
cl36	0.0871880187903037	median-channel-value	TCGA-02-2470-01A-01D-1494-08	CD33	14
cl65	0.365514395962397	median-channel-value	TCGA-04-1357-01A-01W-0492-08	PD1L1	55
cl34	1.9454911194739	median-channel-value	TCGA-02-2485-01A-01R-1849-01	CD86	4
cl169	0.385378659471365	median-channel-value	TCGA-04-1343-01A-01W-0486-08	MRC1	48
cl8	2.37217948740427	median-channel-value	TCGA-04-1655-01A-01R-1566-13	CD27	56
cl112	0.0196815741695978	median-channel-value	TCGA-04-1341-01A-01W-0486-08	CD40L	38
cl193	4.40988372636774	median-channel-value	TCGA-04-1361-01A-01R-1565-13	ITAM	50
cl71	0.103565338780604	median-channel-value	TCGA-04-1362-01A-01W-0492-08	IL3RA	34
cl80	NA	median-channel-value	TCGA-02-2486-01A-01R-1849-01	KI67	6
cl10	2.75922278285831	median-channel-value	TCGA-04-1365-01A-01R-1565-13	FOXP3	57
cl48	0	median-channel-value	TCGA-04-1347-01A-01W-0488-09	KIT	20
cl4	0.976742395939999	median-channel-value	TCGA-04-1349-01A-01W-0492-08	TNR5	58
cl113	2.76161218792748	median-channel-value	TCGA-04-1648-01A-01R-1567-13	CD3E	59
cl7	4.33424914000273	median-channel-value	TCGA-04-1331-01A-01W-0486-08	IL7RA	60
cl76	0.109580567819434	median-channel-value	TCGA-04-1638-01A-01W-0639-09	PDCD1	61
cl37	0.0810760737981518	median-channel-value	TCGA-04-1651-01A-01R-1567-13	HAVR2	62
cl133	NA	median-channel-value	TCGA-04-1542-01A-01R-1566-13	FCG3A	63
cl14	3.64479130047	median-channel-value	TCGA-02-2466-01A-01W-0837-08	CD27	10
cl176	2.13718681703744	median-channel-value	TCGA-05-4244-01A-01R-1107-07	CD8A	64
cl170	0.685023413818982	median-channel-value	TCGA-05-5420-01A-01D-1625-08	PDCD1	65
cl183	NA	median-channel-value	TCGA-04-1542-01A-01W-0553-09	CD19	47
cl108	0.420874724214451	median-channel-value	TCGA-05-4430-01A-02R-1206-07	IL7RA	66
cl101	0.606069617386971	median-channel-value	TCGA-04-1353-01A-01D-1526-09	MRC1	27
cl53	0	median-channel-value	TCGA-05-4249-01A-01D-1105-08	CD14	67
cl163	4.02985885880205	median-channel-value	TCGA-05-4430-01A-02D-1265-08	CD38	68
cl116	NA	median-channel-value	TCGA-05-4418-01A-01R-1206-07	TRBM	69
cl22	0	median-channel-value	TCGA-05-4417-01A-22D-1855-08	CCR7	70
cl53	0.373181505890028	median-channel-value	TCGA-05-4402-01A-01R-1206-07	CD33	71
cl84	0.120684091363191	median-channel-value	TCGA-05-4426-01A-01D-1265-08	CEAM1	72
cl102	0.63036691402529	median-channel-value	TCGA-05-4432-01A-01D-1265-08	MRC1	73
cl188	0	median-channel-value	TCGA-05-4432-01A-01R-1206-07	NCAM1	74
cl199	NA	median-channel-value	TCGA-04-1361-01A-01R-1565-13	IL2RA	50
cl126	0.0031	popsize	TCGA-05-5429-01A-01D-1625-08	NA	75
cl83	0.264207067892266	median-channel-value	TCGA-05-4398-01A-01R-1206-07	FOXP3	76
cl44	3.60625394269845	median-channel-value	TCGA-04-1514-01A-01R-1566-13	CD3E	43
cl36	0.31669634811619	median-channel-value	TCGA-04-1536-01A-01R-1566-13	KI67	36
cl57	0.248576459368598	median-channel-value	TCGA-05-4424-01A-22R-1858-07	TBX21	77
cl187	NA	median-channel-value	TCGA-05-5425-01A-02R-1628-07	CD86	78
cl15	0	median-channel-value	TCGA-05-4382-01A-01R-1206-07	IL7RA	79
cl64	0.330822908365236	median-channel-value	TCGA-05-4389-01A-01D-1265-08	TBX21	80
cl84	0.0033	popsize	TCGA-05-4425-01A-01D-1753-08	NA	81
cl175	0.299877090084164	median-channel-value	TCGA-05-5715-01A-01D-1625-08	PTPRC/CD45RA	82
cl7	0	median-channel-value	TCGA-04-1343-01A-01R-1564-13	TRBM	15
cl33	0	median-channel-value	TCGA-05-4403-01A-01D-1265-08	CD7	83
cl158	NA	median-channel-value	TCGA-05-4415-01A-22D-1855-08	CEAM1	84
cl110	1.14914270009592	median-channel-value	TCGA-05-5423-01A-01D-1625-08	FOXP3	85
cl17	1.3890297389175	median-channel-value	TCGA-05-5423-01A-01D-1625-08	CD27	85
cl190	NA	median-channel-value	TCGA-05-4384-01A-01R-1755-07	CD14	86
cl199	0	median-channel-value	TCGA-05-4402-01A-01D-1265-08	MRC1	87
cl176	0.749196731160693	median-channel-value	TCGA-05-4433-01A-22D-1855-08	PD1L1	88
cl140	NA	median-channel-value	TCGA-04-1353-01A-01D-1526-09	CCR2	27
cl132	4.35888384571342	median-channel-value	TCGA-05-4410-01A-21R-1858-07	DRA	89
cl26	0	median-channel-value	TCGA-04-1341-01A-01R-1564-13	IL7RA	39
cl68	2.850580617389	median-channel-value	TCGA-04-1343-01A-01W-0486-08	PTPRC/CD45RA	48
cl185	NA	median-channel-value	TCGA-05-5425-01A-02R-1628-07	KIT	78
cl90	NA	median-channel-value	TCGA-04-1357-01A-01R-1565-13	CD8A	24
cl137	0	median-channel-value	TCGA-02-0003-01A-01D-1490-08	CEAM1	11
cl76	0	median-channel-value	TCGA-05-4384-01A-01D-1753-08	NCAM1	90
cl29	0.438833473851146	median-channel-value	TCGA-04-1357-01A-01W-0492-08	CD4	55
cl138	0.256470685095102	median-channel-value	TCGA-02-2470-01A-01D-1494-08	CD4	14
cl132	NA	median-channel-value	TCGA-04-1360-01A-01W-0492-08	CD3E	51
cl40	0.466818958200626	median-channel-value	TCGA-02-2485-01A-01R-1849-01	CD86	4
cl74	0	median-channel-value	TCGA-02-2486-01A-01D-1494-08	KI67	3
cl190	0	median-channel-value	TCGA-04-1357-01A-01W-0492-08	CTLA4	55
cl167	NA	median-channel-value	TCGA-04-1361-01A-01W-0492-08	CD27	54
cl28	2.5085018024352	median-channel-value	TCGA-04-1361-01A-01R-1565-13	CD1C	50
cl42	3.74883392139115	median-channel-value	TCGA-05-4422-01A-01D-1265-08	CD4	91
cl162	NA	median-channel-value	TCGA-04-1514-01A-01R-1566-13	FOXP3	43
cl139	0.366771861970574	median-channel-value	TCGA-05-4249-01A-01R-1107-07	CD3E	92
cl165	0.0025	popsize	TCGA-04-1356-01A-01R-1569-13	NA	30
cl190	NA	median-channel-value	TCGA-05-5423-01A-01R-1628-07	IL3RA	93
cl27	0.0389165329484972	median-channel-value	TCGA-05-5428-01A-01R-1628-07	ITAX	94
cl159	NA	median-channel-value	TCGA-05-4403-01A-01R-1206-07	CD19	95
cl38	NA	median-channel-value	TCGA-05-4434-01A-01R-1206-07	CD27	96
cl51	0.0727647849127366	median-channel-value	TCGA-04-1649-01A-01W-0639-09	CD4	40
cl45	NA	median-channel-value	TCGA-04-1649-01A-01W-0639-09	IL7RA	40
cl31	0.0869226318805333	median-channel-value	TCGA-05-4389-01A-01D-1265-08	ITAX	80
cl130	1.93927322482842	median-channel-value	TCGA-04-1542-01A-01W-0553-09	CD7	47
cl10	3.19032358158898	median-channel-value	TCGA-04-1331-01A-01W-0486-08	DRA	60
cl191	NA	median-channel-value	TCGA-05-4398-01A-01D-1265-08	KI67	97
cl154	NA	median-channel-value	TCGA-05-4244-01A-01R-1107-07	CEAM1	64
cl120	0	median-channel-value	TCGA-05-4434-01A-01D-1265-08	IL2RA	98
cl1	0.507945795809652	median-channel-value	TCGA-04-1364-01A-01R-1565-13	CD38	35
cl1	0.374358624425544	median-channel-value	TCGA-04-1343-01A-01W-0486-08	MRC1	48
cl130	1.49519965086579	median-channel-value	TCGA-05-4422-01A-01R-1206-07	FOXP3	99
cl9	4.17218708853597	median-channel-value	TCGA-04-1536-01A-01R-1566-13	ITAM	36
cl176	NA	median-channel-value	TCGA-05-5425-01A-02D-1625-08	CCR2	100
cl51	4.41113133540281	median-channel-value	TCGA-05-4250-01A-01R-1107-07	FCG3A	101
cl6	0	median-channel-value	TCGA-04-1336-01A-01W-0486-08	TRBM	31
cl41	1.01636887390124	median-channel-value	TCGA-04-1646-01A-01W-0639-09	FOXP3	26
cl66	0.0184972228504747	median-channel-value	TCGA-05-4433-01A-22D-1855-08	NCAM1	88
cl85	0.219132262722524	median-channel-value	TCGA-05-4426-01A-01R-1206-07	CD33	102
cl41	0.230963833283169	median-channel-value	TCGA-04-1360-01A-01W-0492-08	ITAX	51
cl41	5.07424202117935	median-channel-value	TCGA-05-4389-01A-01R-1206-07	CD8A	103
cl37	1.04723974042135	median-channel-value	TCGA-05-4405-01A-21R-1858-07	CD38	104
cl103	1.27196816956524	median-channel-value	TCGA-02-2485-01A-01R-1849-01	KI67	4
cl160	NA	median-channel-value	TCGA-04-1638-01A-01W-0639-09	CD86	61
cl134	0.0838293946802105	median-channel-value	TCGA-04-1364-01A-01R-1565-13	CD1C	35
cl91	0.72826046182099	median-channel-value	TCGA-04-1342-01A-01W-0486-08	CEAM1	45
cl187	NA	median-channel-value	TCGA-05-4244-01A-01R-1107-07	FCG3A	64
cl100	0	median-channel-value	TCGA-05-4250-01A-01R-1107-07	NCAM1	101
cl54	0.0343933095346774	median-channel-value	TCGA-04-1343-01A-01W-0486-08	TNR5	48
cl125	3.778281512564	median-channel-value	TCGA-05-4415-01A-22R-1858-07	PTPRC/CD45RA	105
cl92	3.39096105099089	median-channel-value	TCGA-04-1638-01A-01W-0639-09	CD4	61
cl19	1.7199402895758	median-channel-value	TCGA-02-0003-01A-01D-1490-08	TRBM	11
cl9	NA	median-channel-value	TCGA-04-1651-01A-01W-0639-09	CD3E	28
cl53	0.349264361268774	median-channel-value	TCGA-05-4402-01A-01R-1206-07	CD14	71
cl27	5.01598772448604	median-channel-value	TCGA-05-4426-01A-01D-1265-08	CCR2	72
cl114	0.160761384910326	median-channel-value	TCGA-05-5423-01A-01D-1625-08	KIT	85
cl9	NA	median-channel-value	TCGA-02-0055-01A-01R-1849-01	CD1C	7
cl102	3.62853781187086	median-channel-value	TCGA-05-4395-01A-01R-1206-07	IL2RA	106
cl30	0.817585478299992	median-channel-value	TCGA-04-1367-01A-01W-0492-08	CD7	32
cl97	0.156006441868726	median-channel-value	TCGA-04-1336-01A-01W-0486-08	CEAM1	31
cl134	1.32471948175587	median-channel-value	TCGA-05-4390-01A-02R-1755-07	CD3E	107
cl55	0.33740951721589	median-channel-value	TCGA-05-4433-01A-22R-1858-07	IL7RA	108
cl165	NA	median-channel-value	TCGA-04-1638-01A-01W-0639-09	PDCD1	61
cl106	NA	median-channel-value	TCGA-04-1357-01A-01R-1565-13	IL3RA	24
cl130	NA	median-channel-value	TCGA-04-1357-01A-01W-0492-08	CD3E	55
cl157	5.16978134329243	median-channel-value	TCGA-05-5428-01A-01D-1625-08	DRA	109
cl181	NA	median-channel-value	TCGA-05-4405-01A-21D-1855-08	KIT	110
cl137	NA	median-channel-value	TCGA-05-4424-01A-22D-1855-08	CD1C	111
cl95	3.15481734944867	median-channel-value	TCGA-05-4422-01A-01D-1265-08	CD7	91
cl137	0	median-channel-value	TCGA-05-5715-01A-01R-1628-07	CEAM1	112
cl150	2.16849122117886	median-channel-value	TCGA-05-4424-01A-22R-1858-07	PDCD1	77
cl54	0.363312580045024	median-channel-value	TCGA-04-1353-01A-01D-1526-09	CTLA4	27
cl30	4.50372162509489	median-channel-value	TCGA-04-1341-01A-01R-1564-13	CCR2	39
cl90	NA	median-channel-value	TCGA-04-1356-01A-01W-0492-08	CD14	49
cl195	NA	median-channel-value	TCGA-02-2486-01A-01R-1849-01	CD3E	6
cl175	0.285012094134209	median-channel-value	TCGA-05-5420-01A-01R-1628-07	IL3RA	113
cl100	0	median-channel-value	TCGA-05-5423-01A-01R-1628-07	IL3RA	93
cl142	NA	median-channel-value	TCGA-05-4426-01A-01R-1206-07	ITAM	102
cl186	NA	median-channel-value	TCGA-05-5425-01A-02D-1625-08	PD1L1	100
cl141	4.51392794256981	median-channel-value	TCGA-04-1343-01A-01R-1564-13	CD3E	15
cl96	NA	median-channel-value	TCGA-05-4415-01A-22R-1858-07	CD4	105
cl144	0.322588722455619	median-channel-value	TCGA-04-1364-01A-01R-1565-13	TRBM	35
cl56	1.9203958165381	median-channel-value	TCGA-05-4382-01A-01D-1931-08	CD8A	114
cl199	NA	median-channel-value	TCGA-05-4424-01A-22R-1858-07	ITAM	77
cl186	0	median-channel-value	TCGA-04-1362-01A-01R-1565-13	NCAM1	17
cl43	3.15119291796014	median-channel-value	TCGA-05-4415-01A-22R-1858-07	CD38	105
cl132	0.424401507846493	median-channel-value	TCGA-05-4405-01A-21D-1855-08	CD7	110
cl7	0.443969975475625	median-channel-value	TCGA-04-1365-01A-01R-1565-13	FOXP3	57
cl199	NA	median-channel-value	TCGA-05-5425-01A-02D-1625-08	CD27	100
cl25	2.10523921365573	median-channel-value	TCGA-05-4427-01A-21R-1858-07	CD3E	115
cl21	0.0130185184462223	median-channel-value	TCGA-05-4415-01A-22R-1858-07	MRC1	105
cl169	0.233818947361036	median-channel-value	TCGA-05-4420-01A-01R-1206-07	FCERA	116
cl130	2.38482506733997	median-channel-value	TCGA-02-0055-01A-01D-1490-08	FCG3A	9
cl118	2.20407860092443	median-channel-value	TCGA-05-4405-01A-21D-1855-08	CD40L	110
cl178	NA	median-channel-value	TCGA-04-1332-01A-01W-0488-09	FCERA	42
cl61	0	median-channel-value	TCGA-04-1516-01A-01D-1526-09	CTLA4	52
cl10	5.50241367222698	median-channel-value	TCGA-05-4425-01A-01R-1755-07	CCR2	117
cl91	0.0496189929352846	median-channel-value	TCGA-04-1338-01A-01R-1564-13	CD7	53
cl1	1.11095424646222	median-channel-value	TCGA-04-1655-01A-01R-1566-13	CD4	56
cl143	1.89783869176907	median-channel-value	TCGA-04-1649-01A-01W-0639-09	CD38	40
cl29	0.105322936941843	median-channel-value	TCGA-02-0055-01A-01D-1490-08	CD19	9
cl179	NA	median-channel-value	TCGA-02-2470-01A-01D-1494-08	TNR5	14
cl12	0.0168506590094371	median-channel-value	TCGA-05-4244-01A-01D-1105-08	NCAM1	118
cl136	NA	median-channel-value	TCGA-04-1331-01A-01R-1569-13	CD8A	44
cl11	0.057988173052667	median-channel-value	TCGA-05-4415-01A-22D-1855-08	CD8A	84
cl151	0	median-channel-value	TCGA-05-5715-01A-01D-1625-08	CD8A	82
cl8	1.27448456004696	median-channel-value	TCGA-05-4390-01A-02D-1753-08	CCR7	119
cl98	NA	median-channel-value	TCGA-05-4422-01A-01R-1206-07	IL3RA	99
cl87	1.28993913852381	median-channel-value	TCGA-05-4430-01A-02D-1265-08	ITAM	68
cl114	4.0296709521658	median-channel-value	TCGA-05-5425-01A-02D-1625-08	PTPRC/CD45RA	100
cl115	0	median-channel-value	TCGA-05-4382-01A-01D-1931-08	TRBM	114
cl128	NA	median-channel-value	TCGA-05-5429-01A-01D-1625-08	CD3E	75
cl166	5.12380925017884	median-channel-value	TCGA-05-4396-01A-21R-1858-07	CD3E	120
cl23	0	median-channel-value	TCGA-04-1361-01A-01W-0492-08	CCR2	54
cl7	0.00624129880673323	median-channel-value	TCGA-04-1536-01A-01R-1566-13	KIT	36
cl147	NA	median-channel-value	TCGA-05-5429-01A-01R-1628-07	FCG3A	121
cl130	0.191558475482359	median-channel-value	TCGA-05-4417-01A-22R-1858-07	IL3RA	122
cl67	0	median-channel-value	TCGA-05-4427-01A-21D-1855-08	IL3RA	123
cl27	0	median-channel-value	TCGA-05-4418-01A-01R-1206-07	IL7RA	69
cl43	2.93634169820944	median-channel-value	TCGA-05-5428-01A-01R-1628-07	CCR2	94
cl147	4.62557883371952	median-channel-value	TCGA-05-4398-01A-01R-1206-07	FCGR1	76
cl87	0	median-channel-value	TCGA-05-4420-01A-01D-1265-08	FCGR1	124
cl164	0.373776373259087	median-channel-value	TCGA-05-4396-01A-21D-1855-08	CD19	125
cl139	4.52979698742923	median-channel-value	TCGA-05-4422-01A-01R-1206-07	CD27	99
cl128	0	popsize	TCGA-04-1646-01A-01W-0639-09	NA	26
cl169	NA	median-channel-value	TCGA-04-1530-01A-02R-1569-13	CD1C	33
cl154	NA	median-channel-value	TCGA-05-4417-01A-22R-1858-07	CD33	122
cl48	0.435348130057848	median-channel-value	TCGA-02-0055-01A-01D-1490-08	CD38	9
cl174	NA	median-channel-value	TCGA-05-4434-01A-01D-1265-08	PD1L1	98
cl37	0	median-channel-value	TCGA-05-4395-01A-01D-1265-08	CD27	126
cl145	0.591464864023861	median-channel-value	TCGA-05-4424-01A-22D-1855-08	CD40L	111
cl172	NA	median-channel-value	TCGA-04-1364-01A-01R-1565-13	HAVR2	35
cl39	0	median-channel-value	TCGA-02-0055-01A-01R-1849-01	TNR5	7
cl153	0	median-channel-value	TCGA-05-4410-01A-21D-1855-08	CD40L	127
cl73	5.04159489892202	median-channel-value	TCGA-05-5423-01A-01D-1625-08	CD8A	85
cl136	1.90776892879653	median-channel-value	TCGA-05-4417-01A-22D-1855-08	ITAM	70
cl196	NA	median-channel-value	TCGA-05-4427-01A-21D-1855-08	TBX21	123
cl112	0	median-channel-value	TCGA-05-4410-01A-21D-1855-08	PD1L1	127
cl158	NA	median-channel-value	TCGA-04-1542-01A-01R-1566-13	CD19	63
cl105	0	median-channel-value	TCGA-05-4426-01A-01R-1206-07	KI67	102
cl149	NA	median-channel-value	TCGA-02-2486-01A-01D-1494-08	CD7	3
cl102	0.068163818655938	median-channel-value	TCGA-05-5423-01A-01D-1625-08	FCGR1	85
cl168	NA	median-channel-value	TCGA-02-2470-01A-01D-1494-08	PTPRC/CD45RA	14
cl148	0.134475919831535	median-channel-value	TCGA-04-1349-01A-01W-0492-08	PD1L1	58
cl63	0	median-channel-value	TCGA-05-4418-01A-01D-1265-08	CCR7	128
cl1	0	median-channel-value	TCGA-05-4397-01A-01D-1265-08	NCAM1	129
cl162	NA	median-channel-value	TCGA-05-4395-01A-01D-1265-08	KI67	126
cl129	0.11872092067153	median-channel-value	TCGA-04-1638-01A-01W-0639-09	NCAM1	61
cl64	0.0032	popsize	TCGA-05-4397-01A-01R-1206-07	NA	130
cl157	NA	median-channel-value	TCGA-05-4250-01A-01D-1105-08	CCR7	131
cl104	0.174353562239694	median-channel-value	TCGA-02-2466-01A-01W-0837-08	CTLA4	10
cl109	0	median-channel-value	TCGA-02-0055-01A-01R-1849-01	ITAX	7
cl76	3.2733705428097	median-channel-value	TCGA-06-1800-01A-01W-0643-08	TBX21	132
cl165	8.49741741329977	median-channel-value	TCGA-04-1332-01A-01R-1564-13	CD3E	37
cl124	0	median-channel-value	TCGA-05-5425-01A-02R-1628-07	CD40L	78
cl83	0.00339369345953545	median-channel-value	TCGA-05-4418-01A-01R-1206-07	CEAM1	69
cl113	0.494472058553864	median-channel-value	TCGA-04-1651-01A-01R-1567-13	PTPRC/CD45RA	62
cl25	3.98727034825681	median-channel-value	TCGA-06-0645-01A-01R-1849-01	CD33	133
cl117	4.47414832071814	median-channel-value	TCGA-05-4434-01A-01R-1206-07	DRA	96
cl78	0.142661499228843	median-channel-value	TCGA-05-4250-01A-01D-1105-08	PD1L1	131
cl3	0	median-channel-value	TCGA-05-4398-01A-01R-1206-07	CTLA4	76
cl48	2.87494944990733	median-channel-value	TCGA-05-5429-01A-01R-1628-07	CCR7	121
cl182	NA	median-channel-value	TCGA-04-1348-01A-01W-0492-08	CD38	46
cl48	1.938791623822	median-channel-value	TCGA-04-1342-01A-01W-0486-08	CD38	45
cl199	NA	median-channel-value	TCGA-05-4433-01A-22R-1858-07	PD1L1	108
cl105	0	median-channel-value	TCGA-05-5429-01A-01R-1628-07	CD14	121
cl88	0.648341124778581	median-channel-value	TCGA-02-0047-01A-01R-1849-01	FOXP3	12
cl8	0.32604661048131	median-channel-value	TCGA-05-5428-01A-01R-1628-07	CD14	94
cl148	0	median-channel-value	TCGA-06-0649-01B-01R-1849-01	KI67	134
cl154	NA	median-channel-value	TCGA-04-1651-01A-01W-0639-09	KIT	28
cl186	NA	median-channel-value	TCGA-04-1331-01A-01W-0486-08	PD1L1	60
cl190	NA	median-channel-value	TCGA-04-1648-01A-01W-0639-09	IL7RA	16
cl175	4.46891547097654	median-channel-value	TCGA-05-4397-01A-01R-1206-07	CD3E	130
cl187	NA	median-channel-value	TCGA-06-AABW-11A-31R-A36H-07	PDCD1	135
cl111	NA	median-channel-value	TCGA-06-1805-01A-01W-0643-08	NCAM1	136
cl89	0.00233953728675459	median-channel-value	TCGA-04-1362-01A-01W-0492-08	CD19	34
cl139	0.649714702176871	median-channel-value	TCGA-04-1343-01A-01W-0486-08	ITAM	48
cl195	NA	median-channel-value	TCGA-05-4405-01A-21D-1855-08	FCG3A	110
cl54	0.544247847008197	median-channel-value	TCGA-05-4422-01A-01D-1265-08	CD8A	91
cl87	0	median-channel-value	TCGA-05-4417-01A-22R-1858-07	TNR5	122
cl31	0	median-channel-value	TCGA-04-1348-01A-01W-0492-08	TRBM	46
cl3	0.540218506197518	median-channel-value	TCGA-05-4432-01A-01R-1206-07	HAVR2	74
cl158	0	median-channel-value	TCGA-04-1357-01A-01W-0492-08	IL3RA	55
cl58	3.28798354770357	median-channel-value	TCGA-05-4403-01A-01R-1206-07	CD86	95
